2018-11-04 12:55:45.4063| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-04 12:55:45.4063| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-04 12:55:45.7020| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:55:45.7020| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:55:45.7170| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:55:45.7170| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:55:45.7349| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:55:45.7349| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:55:46.0874| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:55:46.0874| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:55:46.1034| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.02492f99-b8a0-401e-8128-36258adb474f', class=WebApi.Cron.CronTareaHora
2018-11-04 12:55:46.1034| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.02492f99-b8a0-401e-8128-36258adb474f', class=WebApi.Cron.CronTareaHora
2018-11-04 12:55:46.1193| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980
2018-11-04 12:55:46.1193| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980
2018-11-04 12:55:46.1223| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:55:46.1223| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.02492f99-b8a0-401e-8128-36258adb474f
2018-11-04 12:55:46.1223| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.02492f99-b8a0-401e-8128-36258adb474f
2018-11-04 12:55:46.1223| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:55:46.4345| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:55:46.4345| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:55:48.3017| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:55:48.3017| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:56:13.8380| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
